name,epoch,domain,acc,acc_A0Y0,acc_A0Y1,acc_A1Y0,acc_A1Y1,consis_A0Y0,consis_A0Y1,consis_A1Y0,consis_A1Y1,acc_var,acc_dis,err_op_0,err_op_1,err_odd
transfer_fairness_result,1,source,78.44122528907997,81.38904571533203,74.40132141113281,0.0,0.0,87.05247851387867,64.02697606728535,nan,nan,39.0258674621582,0.7844122648239136,81.38904571533203,74.40132141113281,155.79037475585938
transfer_fairness_result,1,target,75.50149499574283,71.98716735839844,81.3973388671875,0.0,0.0,81.65877356684705,64.7186295195413,nan,nan,38.49018478393555,0.755014955997467,71.98716735839844,81.3973388671875,153.38450622558594
transfer_fairness_result,3,source,80.36626690372292,83.4929428100586,76.08125305175781,0.0,0.0,87.63591275146442,62.30666781605982,nan,nan,39.97951889038086,0.8036627173423767,83.4929428100586,76.08125305175781,159.57418823242188
transfer_fairness_result,3,target,77.8851325745919,76.08126068115234,80.91142272949219,0.0,0.0,82.53160458035869,61.34348977747902,nan,nan,39.28530502319336,0.778851330280304,76.08126068115234,80.91142272949219,156.99267578125
transfer_fairness_result,5,source,80.58773152547963,82.88298797607422,77.44215393066406,0.0,0.0,90.90962911834524,79.67936029439211,nan,nan,40.127418518066406,0.8058773279190063,82.88298797607422,77.44215393066406,160.32513427734375
transfer_fairness_result,5,target,77.73308864082547,75.25148010253906,81.8963851928711,0.0,0.0,87.5885537331284,80.15628002962552,nan,nan,39.357147216796875,0.7773309350013733,75.25148010253906,81.8963851928711,157.14785766601562
transfer_fairness_result,7,source,80.70016755034204,83.14818572998047,77.3452377319336,0.0,0.0,91.44002008003945,82.29213079366171,nan,nan,40.175777435302734,0.8070017099380493,83.14818572998047,77.3452377319336,160.49342346191406
transfer_fairness_result,7,target,77.89248826922497,75.72116088867188,81.53522491455078,0.0,0.0,88.85279192874668,83.04550652438527,nan,nan,39.3677978515625,0.7789248824119568,75.72116088867188,81.53522491455078,157.25637817382812
transfer_fairness_result,9,source,80.84838112046405,83.33971405029297,77.43407440185547,0.0,0.0,91.56967252538043,82.3769348813717,nan,nan,40.247642517089844,0.8084838390350342,83.33971405029297,77.43407440185547,160.77378845214844
transfer_fairness_result,9,target,77.94889323914511,75.77204895019531,81.60089111328125,0.0,0.0,88.97804461044736,83.23593136642569,nan,nan,39.39717102050781,0.7794889211654663,75.77204895019531,81.60089111328125,157.37294006347656
transfer_fairness_result,11,source,80.96422229877322,84.17361450195312,76.56584167480469,0.0,0.0,91.83781975011222,81.83580180442627,nan,nan,40.2747802734375,0.8096422553062439,84.17361450195312,76.56584167480469,160.7394561767578
transfer_fairness_result,11,target,78.27259387246845,76.78186798095703,80.77352905273438,0.0,0.0,89.12286195124547,82.54645599749986,nan,nan,39.41412353515625,0.782725989818573,76.78186798095703,80.77352905273438,157.55538940429688
transfer_fairness_result,13,source,81.0630306003447,83.05684661865234,78.33057403564453,0.0,0.0,91.21313146653065,81.4279359878277,nan,nan,40.38144302368164,0.8106303215026855,83.05684661865234,78.33057403564453,161.38742065429688
transfer_fairness_result,13,target,77.9047503960864,75.2319107055664,82.38886260986328,0.0,0.0,88.2774283380638,82.27066823368322,nan,nan,39.486351013183594,0.7790475487709045,75.2319107055664,82.38886260986328,157.6207733154297
transfer_fairness_result,15,source,81.17717080059408,84.3975601196289,76.76371765136719,0.0,0.0,91.82603207410679,81.59350647741665,nan,nan,40.380619049072266,0.8117716908454895,84.3975601196289,76.76371765136719,161.16128540039062
transfer_fairness_result,15,target,78.3755929490292,76.91494750976562,80.82605743408203,0.0,0.0,88.99760992172679,82.31006476930627,nan,nan,39.45948791503906,0.7837559580802917,76.91494750976562,80.82605743408203,157.74099731445312
transfer_fairness_result,17,source,81.31345636475025,83.71688842773438,78.01962280273438,0.0,0.0,91.49305977492425,81.77926702291039,nan,nan,40.48426818847656,0.8131346106529236,83.71688842773438,78.01962280273438,161.73651123046875
transfer_fairness_result,17,target,78.14752927912335,75.76812744140625,82.13933563232422,0.0,0.0,88.34396761049473,82.41513073847497,nan,nan,39.541080474853516,0.781475305557251,75.76812744140625,82.13933563232422,157.907470703125
transfer_fairness_result,19,source,81.37819232323304,83.5518798828125,78.39922332763672,0.0,0.0,91.24554067948291,81.11295184026949,nan,nan,40.52873992919922,0.8137819170951843,83.5518798828125,78.39922332763672,161.95111083984375
transfer_fairness_result,19,target,78.06660508461678,75.5528564453125,82.28379821777344,0.0,0.0,87.8781950443457,81.71252046986241,nan,nan,39.53085708618164,0.7806660532951355,75.5528564453125,82.28379821777344,157.83665466308594
transfer_fairness_result,21,source,81.42078141012631,83.657958984375,78.35480499267578,0.0,0.0,91.25144001814937,81.25025276825231,nan,nan,40.546566009521484,0.8142078518867493,83.657958984375,78.35480499267578,162.01275634765625
transfer_fairness_result,21,target,78.0960297082883,75.63505554199219,82.22470092773438,0.0,0.0,88.00736040559327,81.92921286839761,nan,nan,39.53364944458008,0.7809603214263916,75.63505554199219,82.22470092773438,157.85975646972656
transfer_fairness_result,23,source,81.4480406649068,83.15997314453125,79.10188293457031,0.0,0.0,90.98918764419167,81.40370697919894,nan,nan,40.59082794189453,0.8144804239273071,83.15997314453125,79.10188293457031,162.26185607910156
transfer_fairness_result,23,target,77.97341593548212,75.0009765625,82.96014404296875,0.0,0.0,87.57289725489576,81.83071937388198,nan,nan,39.59041213989258,0.779734194278717,75.0009765625,82.96014404296875,157.96112060546875
