,MO,GA,VA,MD,TN,MN,OR,FL,NC,CO,TX,WA,VT,IN,NY,AZ,MI,DE,WV,ME,NE,OK,KY,OH,WI,MT,AL,MA,PA,SD,LA,RI,SC,CT,AR,MS,UT,ID,IL,PR,KS,NJ,IA,HI,NV,NH,NM,ND,AK,WY
acc,0.7783885660436627,0.7933597621407334,0.8033373063170441,0.8154897494305239,0.7879135042245453,0.7787066246056782,0.7928370786516854,0.7814755412991179,0.783819754729537,0.7873876765083441,0.7948133161670039,0.8075235109717869,0.7671601615074024,0.7793035107587769,0.7911115433239327,0.7915210454338246,0.7956573468173707,0.7871900826446281,0.7778469197261979,0.7790530846484935,0.7645429362880887,0.7730715287517531,0.7725096877136995,0.793555608859039,0.7849639855942377,0.7571174377224199,0.7897142857142857,0.811313778654178,0.8035701168001176,0.7157360406091371,0.7714829802427994,0.799469964664311,0.780542071197411,0.8141042260824475,0.775593471810089,0.7706283118849356,0.8118003025718609,0.7838334353949785,0.7996337555318175,0.7384948565240931,0.7766126469653638,0.8031709606759153,0.7684507042253521,0.7814391392064559,0.801157643854273,0.7955439056356488,0.7918069584736251,0.7330917874396136,0.7703281027104137,0.7584541062801933
auc,0.8629440469909688,0.8765254485251063,0.890429435768758,0.9008756893965617,0.8680789198506881,0.8592425705054051,0.8788641472436047,0.866587666982192,0.8675104162544682,0.8760851468034451,0.8762845538573263,0.8861555344420013,0.8528251889954017,0.8594258903558386,0.8745312848955298,0.8684426444928386,0.8768111782450985,0.8720650251058735,0.8574702133453045,0.8496575962897206,0.863576121493612,0.846469509832642,0.8556398647832912,0.8774593835288861,0.8669980109773003,0.8289465620786861,0.8708938923768974,0.8959271160031503,0.8809078308094449,0.8009279251761583,0.8453451367474261,0.8900680823420068,0.8632974736214771,0.8927176515904505,0.8551661605937922,0.846864140556659,0.8939179591929814,0.8662616612640582,0.8845163432515537,0.8241028745266032,0.8622119890202312,0.8890410601600193,0.8573676724436567,0.8569347262934124,0.868663003948058,0.8854784077446556,0.8725777088118861,0.8254871170362775,0.8455703412209393,0.8426154080987375
te,0.4030078947544098,0.4113401770591736,0.4594244658946991,0.45320653915405273,0.39883333444595337,0.4198451340198517,0.40213391184806824,0.4038240313529968,0.41637974977493286,0.44523876905441284,0.40266647934913635,0.41949543356895447,0.41827359795570374,0.38471856713294983,0.3998429477214813,0.3900630474090576,0.39808574318885803,0.4156755208969116,0.39527904987335205,0.39657536149024963,0.41472434997558594,0.36816707253456116,0.3999280631542206,0.39993542432785034,0.41441911458969116,0.4073362350463867,0.4030587077140808,0.43628230690956116,0.39777126908302307,0.3997707962989807,0.3920270800590515,0.417341947555542,0.39730629324913025,0.4422803819179535,0.37097254395484924,0.3850741684436798,0.3765519857406616,0.3741563558578491,0.415554016828537,0.34560099244117737,0.4056723415851593,0.44428932666778564,0.3985636830329895,0.37396329641342163,0.346190869808197,0.42584091424942017,0.37253516912460327,0.4049959182739258,0.33555173873901367,0.4126568138599396
cfd,0.3956337364535888,0.40792864222001984,0.4678730089933904,0.46150341685649204,0.38894457969354146,0.4148264984227129,0.40191947565543074,0.39985966319166,0.412967012073391,0.4552310654685494,0.39838146036417144,0.4191849529780564,0.4185733512786003,0.37075311438278596,0.3954098998346786,0.38428810211214104,0.39321832242712673,0.40702479338842973,0.38767890479153705,0.38522238163558103,0.4224376731301939,0.35596072931276296,0.3872806017779804,0.39297993123850644,0.4099639855942377,0.4012455516014235,0.3954285714285714,0.44195218141483855,0.38948064350253436,0.40913705583756343,0.38348012378005236,0.4204946996466431,0.3883495145631068,0.4519056261343013,0.35237388724035607,0.3766086298258895,0.3715582450832073,0.3594611145131659,0.4157637723180223,0.3237682728749323,0.40737210041309185,0.4475852717221237,0.3907042253521127,0.36516476126429054,0.3285665645216207,0.43184796854521623,0.3608305274971942,0.41183574879227053,0.33666191155492153,0.41545893719806765
