,MO,GA,VA,MD,TN,MN,OR,FL,NC,CO,TX,WA,VT,IN,NY,AZ,MI,DE,WV,ME,NE,OK,KY,OH,WI,MT,AL,MA,PA,SD,LA,RI,SC,CT,AR,MS,UT,ID,IL,PR,KS,NJ,IA,HI,NV,NH,NM,ND,AK,WY
acc,0.7728914716506989,0.7906838453914767,0.8034456604182468,0.817463933181473,0.7781755692395819,0.7772870662460568,0.7928370786516854,0.7792201283079391,0.7784960547580568,0.7901155327342747,0.7943718962663233,0.8032601880877743,0.756393001345895,0.7744903737259343,0.7916464066906544,0.7877222306640328,0.7969462621455483,0.7820247933884298,0.761667703795893,0.7604017216642754,0.7594644506001846,0.7663394109396915,0.7684066560291771,0.793475653633965,0.7821128451380552,0.7375444839857651,0.7785142857142857,0.8129159477446389,0.7965180342319841,0.7126903553299493,0.7681504403713402,0.7968197879858657,0.7712378640776699,0.8021778584392014,0.7722551928783383,0.7547312641937926,0.8142208774583963,0.7783221065523577,0.7998626583244316,0.7179209528965891,0.7734350174769622,0.8071346615208095,0.7656338028169014,0.7854741089441829,0.8059244126659857,0.8001310615989515,0.7805836139169473,0.7282608695652174,0.7589158345221113,0.7729468599033816
auc,0.8653499328683956,0.880041837675391,0.8936406053521396,0.9047867082035307,0.8687216493542744,0.8636431183267514,0.8826199703984725,0.8684981668850581,0.8710997784021212,0.8779480854663974,0.8795575454722482,0.8881866137715365,0.8476190476190476,0.8617495273958564,0.8750654427826609,0.8725640103352356,0.879252820819717,0.8679663348998445,0.8585879028281683,0.8478519753131153,0.8662104075876962,0.8541786759401881,0.8591114330556562,0.8807571431435273,0.8706351835749544,0.8287435653879152,0.8702821678574006,0.8986356132196395,0.881395465495501,0.8041035147404232,0.8514566249078255,0.8912386998427384,0.8622617672761184,0.8911355512637141,0.8583719916779127,0.8495609061132271,0.8976224682936048,0.8709727738970309,0.8876417890867587,0.8323089340038493,0.8658610523202618,0.8932762902620537,0.8615949146381994,0.8638862966648726,0.8717057581464362,0.8917856358843453,0.8710992864473878,0.8262722727855403,0.8532076839434577,0.8535838112475196
te,0.022806037217378616,0.022426508367061615,0.022296253591775894,0.022285228595137596,0.023515833541750908,0.0252973735332489,0.021913781762123108,0.022953495383262634,0.023965992033481598,0.023012148216366768,0.022394148632884026,0.022427977994084358,0.022340334951877594,0.023412082344293594,0.02226291224360466,0.022898226976394653,0.023045523092150688,0.02370624430477619,0.024066872894763947,0.02333742380142212,0.024925358593463898,0.023718083277344704,0.02339026890695095,0.023292405530810356,0.024077100679278374,0.024649372324347496,0.02390751987695694,0.02111714333295822,0.022752514109015465,0.024734223261475563,0.023859208449721336,0.021749798208475113,0.022442255169153214,0.021936943754553795,0.02411932870745659,0.023213380947709084,0.020153969526290894,0.02306804619729519,0.022149071097373962,0.022234054282307625,0.023630129173398018,0.02219313755631447,0.02418382279574871,0.021870877593755722,0.022276844829320908,0.022880328819155693,0.023410972207784653,0.025250185281038284,0.023054128512740135,0.025803588330745697
cfd,0.02952724988220512,0.026957383548067395,0.02936396142593997,0.029460895975702353,0.03193469855363024,0.03722397476340694,0.025046816479400748,0.030473135525260625,0.035079380169217605,0.028401797175866494,0.029354423395254736,0.0270846394984326,0.029609690444145357,0.03185164212910532,0.028396382378683263,0.028567087068834523,0.03390838786436645,0.03202479338842975,0.028002489110143122,0.03443328550932568,0.030932594644506,0.03225806451612903,0.03396398449965808,0.033741104981210523,0.03556422569027611,0.03291814946619217,0.03497142857142857,0.025264974118807,0.029163299786968338,0.03959390862944162,0.033563437276838845,0.030035335689045935,0.027710355987055017,0.02722323049001815,0.034866468842729974,0.028766086298258896,0.025416036308623297,0.02449479485609308,0.028002441629787884,0.036816459122902004,0.03145853193517636,0.025033900073015543,0.035211267605633804,0.026227303295225286,0.030303030303030304,0.0327653997378768,0.026374859708193043,0.021739130434782608,0.029957203994293864,0.040257648953301126
