,MO,GA,VA,MD,TN,MN,OR,FL,NC,CO,TX,WA,VT,IN,NY,AZ,MI,DE,WV,ME,NE,OK,KY,OH,WI,MT,AL,MA,PA,SD,LA,RI,SC,CT,AR,MS,UT,ID,IL,PR,KS,NJ,IA,HI,NV,NH,NM,ND,AK,WY
acc,0.6898068163970473,0.6509415262636273,0.5818615234586629,0.5447228549734244,0.6906773593011599,0.6422712933753943,0.6385767790262172,0.6759222133119487,0.6674588839243274,0.6158536585365854,0.6509839985286003,0.6027586206896551,0.6285329744279946,0.7022933182332955,0.6015754157347077,0.672390214253153,0.6638905413444378,0.6115702479338843,0.6950840074673305,0.6807747489239598,0.6823638042474608,0.7138849929873773,0.6774561203555961,0.6724234428719917,0.662515006002401,0.7090747330960854,0.6758857142857143,0.5746857283707173,0.6522441783589216,0.6873096446700507,0.6612711259223994,0.5918727915194346,0.6925566343042071,0.5592429349235157,0.7281157270029673,0.7062831188493566,0.6632375189107413,0.6962645437844458,0.6355867541584007,0.8402815376285869,0.6863679694947569,0.5505371857724001,0.6856338028169014,0.6193678547410895,0.6721144024514811,0.6225425950196593,0.6958473625140292,0.6219806763285024,0.6176890156918687,0.644122383252818
auc,0.6883126358650165,0.6827958785629833,0.684197999763066,0.6846728048921196,0.6771606413108944,0.6901838392702807,0.68947000469522,0.669963854321596,0.6668255073338347,0.6971860253479613,0.6820644276199527,0.6927467157083724,0.6560400592315485,0.7054938333700282,0.6652967991007043,0.6931490415584067,0.6824698725811263,0.6607200293050766,0.6681924891266752,0.6822602268198124,0.676907860995404,0.6897337248750248,0.6628640589158518,0.6907262279448194,0.6771863800783569,0.6587338368672631,0.6705550744509394,0.7071883790790121,0.6795077843849475,0.6528101071169018,0.669453288654258,0.6781879227006531,0.6625739555895913,0.6889394392412599,0.6879118870895187,0.6529967420304295,0.7412365575634372,0.6564673408513293,0.6931506760603346,0.6278186502762775,0.7046178800173752,0.6828672135920311,0.6767700083103592,0.6536247681519142,0.6768410867794534,0.6804304481370409,0.6430274363423097,0.6685104473785413,0.6501708693626055,0.7020922828670491
te,0.07893062916838567,0.09397015249022399,0.09021771911360646,0.08952651427890496,0.08283692105320835,0.08305825113133582,0.08675928670507353,0.09047353749349551,0.0915705861848921,0.0869822554049807,0.09470117071598816,0.08249967763220604,0.0678819635491168,0.08528956645679757,0.08794232128093951,0.080469368186583,0.07854837736272083,0.09322584352464139,0.07610014806373602,0.0801525583546972,0.08112826625378125,0.08827667340813501,0.0748145716359106,0.08140201176010939,0.08385847897867037,0.078959308361425,0.07876763716908025,0.08653889567347059,0.08177494395437425,0.09861651387748427,0.08887771947592335,0.07609174921603147,0.08878864478870714,0.08018092904422877,0.07587447840417066,0.08036393306686236,0.06668204510499835,0.089298893726593,0.08370056506977996,0.07704198785855851,0.08384073461363296,0.08681646515236983,0.07939475310917164,0.09195729565883089,0.08698162925392187,0.07978151558027412,0.07110835940519243,0.08515335668153327,0.10506455204401824,0.08972054439108866
cfd,0.0768022616616931,0.09226957383548068,0.08679163506338715,0.0888382687927107,0.08148360303594443,0.08280757097791798,0.08637640449438203,0.08876303127506015,0.08860157809677727,0.08504492939666239,0.09225675924222917,0.08200626959247649,0.06594885598923284,0.08323895809739525,0.08698823300593211,0.0776477738945449,0.07545112036486218,0.0878099173553719,0.07529558182949596,0.08034433285509325,0.08079409048938135,0.0849929873772791,0.07317073170731707,0.07827616534740545,0.08073229291716687,0.07740213523131673,0.07862857142857142,0.0860241557801331,0.0802908984059355,0.09949238578680203,0.08569388240895025,0.07332155477031801,0.08798543689320389,0.0780399274047187,0.07307121661721068,0.07948523845571537,0.06535552193645991,0.08695652173913043,0.0827102090645506,0.07255008121277748,0.07975850015888147,0.08459372066339835,0.0752112676056338,0.09280430396772024,0.08512087163772557,0.07863695937090433,0.0707070707070707,0.08333333333333333,0.10699001426533523,0.0853462157809984
